text,label
There was a fee charged when I paid with my card.,15
I received a fee I should not have.,15
Why am I being a charged for using my card?,15
Tell me why there is a fee for a card payment.,15
I don't understand why I'm being charged for using my card.,15
I paid with my card so so why was I charged a transaction fee?,15
"I shouldn't have been charged but I see a fee, why?",15
"i made a payment with my card and was charged a fee, why would you do that",15
A fee came along with me paying with card,15
I had to pay a fee when buying items with my card.,15
Why is there a fee when I thought there would be no fees?,15
Why are there fees for using a card?,15
I had to pay money for paying with my card.,15
"I'm going on holiday to France for 6 weeks with my family and the cat, Fluffy.  I just purchased €10,000 from a currency exchange to ensure we don't run short but there appears to be a fee.  What is this for?",15
What are the reasons to be charged a fee on card payments?,15
I paid with card and was charged a fee that shouldn't be there!,15
Why was I charged an extra fee when paying with card?,15
I noticed a new fee on my account. I didn't know there were fees for these payments. What is the policy?,15
I don't understand why I was charged an additional fee for this service. Can you clarify?,15
Why is there a fee for using my card?,15
Why was my transaction charged an extra fee when paying with my card?,15
"Where can I find out the fee structure for my account? I have been charged fees for some transactions, but not for other ones. I can't find a pattern in these fees.",15
"On a card payment, why is there a fee?",15
Why did I get charged a fee for my card payment?,15
Why are you charging me fees for using my card?,15
What is the extra fee that showed up on my card?,15
Why was I charged a fee for using my card,15
Let me know when I get charged extra for payments. I saw on the app a fee I wasn't forewarned about.,15
I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this?,15
I got charged a service fee on my account. Can it be waived since I didn't know about it before?,15
I think a fee was applied for paying with a card.,15
I'm being charged for using my card!,15
I bought something with my card and I was charged a fee,15
I received an extra charge for using the card. Why?,15
Can you explain why my payment was charged a fee?,15
Is there a fee for paying by card?,15
Who charged me a fee for paying by card?,15
I have a fee showing from last time I used my card.,15
Why is this fee being charged to me after using my card?,15
"Why wasn't it obvious that you charge for payments? If you put the fees in an easy to read format, this could have been avoided.",15
Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help!,15
I payed with the card and there was an extra fee?,15
Is it normal to be charged an extra fee when paying with my card?,15
Why was there a fee for paying by card?,15
How did the extra charge on my card come in effect?,15
Please tell me why I was charged additionally when I used the card.,15
I made a purchase with my card and I was charged a fee for using it,15
I was made to pay a fee for making a transaction with card.,15
"Why, when paying with the card, was I charged an extra fee?",15
I have never been charged a card payment fee before. Why did this change?,15
What can i pay with out  fees,15
Why and I being charged this fee?,15
